ID_Code,age_WK1,gender_WK1,age_WK8,gender_WK8
68691194,5,1,5,1
00914AB4,3,1,3,1
0419B304,1,1,1,1
0ABA1253,2,1,2,1
0C41A89B,5,2,NA,NA
0E642C35,5,1,5,1
2087A112,2,2,NA,NA
2563D81C,5,2,5,2
282CDF2A,1,1,NA,NA
2961070C,1,1,NA,NA
34160ECB,2,2,NA,NA
45B0DC80,3,2,3,2
54C0F4F3,4,1,4,1
5DDE3E51,4,2,4,2
5FB21BA0,1,2,2,2
604E2622,3,1,4,1
6E3293FA,5,2,5,2
74FBEC25,3,2,3,2
8D14F83F,3,1,3,1
99CB4E99,3,1,3,1
9E05EBD2,4,1,NA,NA
9E641300,1,2,NA,NA
B5F9C1B1,4,2,4,2
B778E0AB,2,2,2,2
B8D38501,2,2,NA,NA
C1363BE1,6,2,6,2
C35977BF,5,2,5,2
F4CC77BB,1,2,NA,NA
F5DAEA50,2,1,NA,NA
FF0A65DA,4,1,4,1
FF735487,3,2,3,2
318C1CFA,5,1,NA,NA
2D88B74B,NA,NA,NA,NA
40FE6024,NA,NA,2,2
548A4308,NA,NA,3,1
5B7B7517,NA,NA,4,1
DF144928,4,1,4,1
0BFD7A59,5,1,5,1
111B2425,4,2,NA,NA
32FB0099,6,2,6,2
44E75F93,4,2,5,2
4EB130B5,6,1,NA,NA
61BCA51C,5,2,5,2
74FF465F,4,2,5,2
7E1F780E,4,1,4,1
84F5414A,4,2,NA,NA
9E51BA18,1,1,NA,NA
AF2C366A,6,1,6,1
B69726D8,5,2,5,2
B8DAAA02,4,2,4,2
CC8F8730,3,1,3,1
0C090C88,2,2,3,2
0EB73CB7,6,2,NA,NA
26646E8D,4,2,5,2
3D5501CF,3,2,3,2
67828A4A,5,1,5,1
96588B18,5,2,5,2
EBEF3660,6,2,NA,NA
0F373D72,6,2,6,2
20B830C2,3,1,3,1
2D4F2863,2,1,2,1
379F0816,1,2,NA,NA
502D393F,5,2,5,2
D84DA1FB,2,1,2,1
0C554344,3,2,3,2
4B9FF174,4,1,NA,NA
6A9C4072,5,1,5,1
831CEDBD,5,2,5,2
86426DFF,5,2,5,2
935D9152,6,1,6,1
A2366C75,3,2,3,2
A5A4C2F5,5,1,5,1
AA83AAF2,3,1,NA,NA
C0012FAD,5,1,5,1
D43F8E33,5,2,5,2
DDD3636E,2,2,NA,NA
358E62BF,3,2,3,2
8A485388,4,2,NA,NA
A3021EFD,6,1,6,1
CC36B8E5,1,1,NA,NA
58509880,4,1,4,1
79415099,2,1,3,1
04C71882,4,2,4,2
097BC1F4,4,1,4,1
150E4018,5,1,5,1
22F31278,3,2,3,2
27F739A8,3,2,3,2
2AD01912,3,1,NA,NA
3320C2AB,4,2,4,2
38ECAABB,4,1,4,1
3FF007FD,4,2,4,2
465D86C9,2,1,NA,NA
59685ACB,4,1,4,1
5A5FF54B,3,2,3,2
5A60F0C7,3,2,3,2
6D13163B,4,1,NA,NA
6EE7F438,3,1,3,1
77EFF35D,3,2,3,2
816121EA,3,2,3,2
84D52F5A,5,1,NA,NA
891FC318,1,2,1,2
8DB44370,4,1,4,1
9F69077C,5,1,6,1
B5AE7545,4,1,4,1
E0FC1802,5,1,NA,NA
E97405DB,4,2,4,2
EC00B5E1,4,2,NA,NA
EDD84AA5,1,1,1,1
F5192F40,2,2,2,2
F5837B1F,5,1,5,1
F5BE8171,4,2,NA,NA
F74CB25F,1,1,2,1
FEE41878,5,1,5,1
42113C68,1,1,NA,NA
80BCDEE2,5,2,5,2
